date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:07	1409710/1409710	---MCZ	200	added ('OK')	text/html	etag:W/%2294a17e00ea115af7ffdb04c749b35b6b%22	https://mcengr.wixstudio.com/mycomputerengr	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/mycomputerengr.html	(from )
11:49:08	443/443	---M--	200	added ('OK')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://mcengr.wixstudio.com/robots.txt		(from )
11:49:08	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Users/USER/Desktop/mycomputerengr/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:09	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/USER/Desktop/mycomputerengr/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:09	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/USER/Desktop/mycomputerengr/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:10	1993/1993	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2010:49:11%20GMT	https://mcengr.wixstudio.com/D,location.href	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/D,location.4.delayed	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:10	1993/1993	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2010:49:11%20GMT	https://mcengr.wixstudio.com/	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/index.html	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:11	1993/1993	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2010:49:11%20GMT	https://mcengr.wixstudio.com/t	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/t.5.delayed	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:12	1993/1993	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2010:49:12%20GMT	https://mcengr.wixstudio.com/o	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/o.6.delayed	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:14	1151376/1151376	---MCZ	200	added ('OK')	text/html	etag:W/%222f242540c0beb799523bbc4fa9e969b4%22	https://mcengr.wixstudio.com/mycomputerengr/about-me	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/mycomputerengr/about-me.html	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:16	1220831/1220831	---MCZ	200	added ('OK')	text/html	etag:W/%2261d499575350c03d969c2fd9b17c3e9f%22	https://mcengr.wixstudio.com/mycomputerengr/services	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/mycomputerengr/services.html	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:18	1344831/1344831	---MCZ	200	added ('OK')	text/html	etag:W/%227f8f07c7f4d3fd7f8212553611fa9b73%22	https://mcengr.wixstudio.com/mycomputerengr/portfolio	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/mycomputerengr/portfolio.html	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:20	2080383/2080383	---MCZ	200	added ('OK')	text/html	etag:W/%22e902e91f345e8f0ecea47d97a86baaf4%22	https://mcengr.wixstudio.com/mycomputerengr/contact-me	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/mycomputerengr/contact-me.html	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:21	930188/930188	---MCZ	200	added ('OK')	text/html	etag:W/%2208fef6fc98df4113adeb071c3567dc5a%22	https://mcengr.wixstudio.com/mycomputerengr/blank	C:/Users/USER/Desktop/mycomputerengr/mcengr.wixstudio.com/mycomputerengr/blank.html	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:21	2525/2525	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202026%2010:23:06%20GMT	https://static.wixstatic.com/media/53bf04_ea586ada40944e989f3c168c6e9f1791f000.jpg/v1/fill/w_160,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/53bf04_ea586ada40944e989f3c168c6e9f1791f000.jpg	C:/Users/USER/Desktop/mycomputerengr/static.wixstatic.com/media/53bf04_ea586ada40944e989f3c168c6e9f1791f000.jpg/v1/fill/w_160,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,/53bf04_ea586ada40944e989f3c168c6e9f1791f000.jpg	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:21	18837/18837	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jun%202026%2010:23:07%20GMT	https://static.wixstatic.com/media/53bf04_caa481d646d14afc9d608c7aa923d102~mv2.png/v1/fill/w_135,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/53bf04_caa481d646d14afc9d608c7aa923d102~mv2.png	C:/Users/USER/Desktop/mycomputerengr/static.wixstatic.com/media/53bf04_caa481d646d14afc9d608c7aa923d102_mv2.png/v1/fill/w_135,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,/53bf04_caa481d646d14afc9d608c7aa923d102_mv2.png	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:21	5393/5393	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202026%2010:23:09%20GMT	https://static.wixstatic.com/media/53bf04_adc3e5712a0245c1a727c453c7db8db3~mv2.jpg/v1/fill/w_147,h_185,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/IMG-20260319-WA0000.jpg	C:/Users/USER/Desktop/mycomputerengr/static.wixstatic.com/media/53bf04_adc3e5712a0245c1a727c453c7db8db3_mv2.jpg/v1/fill/w_147,h_185,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/IMG-20260319-WA0000.jpg	(from https://mcengr.wixstudio.com/mycomputerengr)
11:49:22	3679/3679	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202026%2010:23:09%20GMT	https://static.wixstatic.com/media/53bf04_a969625c3f624b849278247b90cd0bf9~mv2.jpg/v1/fill/w_97,h_173,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/IMG-20260402-WA0015.jpg	C:/Users/USER/Desktop/mycomputerengr/static.wixstatic.com/media/53bf04_a969625c3f624b849278247b90cd0bf9_mv2.jpg/v1/fill/w_97,h_173,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/IMG-20260402-WA0015.jpg	(from https://mcengr.wixstudio.com/mycomputerengr)
